problem,answer,category
18x+114=295,,linear
tan(135),,trigonometry
log(32),,logarithm
28x+114=239,,linear
10^5,,power
726/22,,arithmetic
41+32*24,,arithmetic
1758+1540,,arithmetic
tan(60),,trigonometry
sin(225),,trigonometry
2289-1923,,arithmetic
65+24*17,,arithmetic
76*75,,arithmetic
65*51,,arithmetic
log(1024),,logarithm
13^3,,power
14^5,,power
2842-1256,,arithmetic
log(32),,logarithm
2150/43,,arithmetic
tan(45),,trigonometry
1689+1999,,arithmetic
16x+110=238,,linear
log(32),,logarithm
sqrt(1849),,power
600/20,,arithmetic
1066/26,,arithmetic
16x+136=111,,linear
7^3,,power
58*80,,arithmetic
tan(30),,trigonometry
1531+1050,,arithmetic
94*54,,arithmetic
1294+1879,,arithmetic
cos(180),,trigonometry
3120/48,,arithmetic
cos(210),,trigonometry
2904-1455,,arithmetic
1378+1854,,arithmetic
69*66,,arithmetic
sqrt(576),,power
2671-1816,,arithmetic
2033-1490,,arithmetic
13x+130=248,,linear
sqrt(4096),,power
2448-1497,,arithmetic
12^4,,power
1820+1195,,arithmetic
7^5,,power
27x+139=273,,linear
1026/38,,arithmetic
2314-1954,,arithmetic
tan(210),,trigonometry
94*82,,arithmetic
log(32),,logarithm
10x+102=248,,linear
2150-1443,,arithmetic
6^4,,power
log(512),,logarithm
10^3,,power
sin(315),,trigonometry
89*91,,arithmetic
1620/30,,arithmetic
57*66,,arithmetic
912/38,,arithmetic
1135+1463,,arithmetic
sqrt(1225),,power
92*71,,arithmetic
log(100000),,logarithm
1435+1499,,arithmetic
62+42*12,,arithmetic
sin(150),,trigonometry
21x+92=255,,linear
sin(150),,trigonometry
13^4,,power
6^4,,power
1239/21,,arithmetic
log(1024),,logarithm
82*78,,arithmetic
1712+1886,,arithmetic
61*71,,arithmetic
sqrt(4761),,power
sin(150),,trigonometry
sqrt(529),,power
1148+1487,,arithmetic
40+55*13,,arithmetic
62*84,,arithmetic
sqrt(441),,power
1322+1477,,arithmetic
1456+1570,,arithmetic
1964+1468,,arithmetic
1439+1843,,arithmetic
log(32),,logarithm
69+31*11,,arithmetic
sqrt(625),,power
5^3,,power
1056+1392,,arithmetic
24x+75=150,,linear
sqrt(4096),,power
log(32),,logarithm
60+32*15,,arithmetic
12^5,,power
46+39*19,,arithmetic
64+66*15,,arithmetic
87*68,,arithmetic
sin(120),,trigonometry
51*87,,arithmetic
25+23*25,,arithmetic
12^5,,power
64*80,,arithmetic
1720+1882,,arithmetic
63*55,,arithmetic
tan(30),,trigonometry
1063+1616,,arithmetic
24x+102=137,,linear
46+49*11,,arithmetic
12^3,,power
79*74,,arithmetic
97*56,,arithmetic
26x+78=274,,linear
1548/43,,arithmetic
12^3,,power
1357/23,,arithmetic
log(128),,logarithm
23x+112=239,,linear
1980+1050,,arithmetic
log(100000),,logarithm
70*88,,arithmetic
83*53,,arithmetic
log(256),,logarithm
2622-1893,,arithmetic
44+65*17,,arithmetic
10^4,,power
sqrt(2809),,power
2120/40,,arithmetic
log(1024),,logarithm
2013/33,,arithmetic
72*72,,arithmetic
11^3,,power
10^4,,power
log(64),,logarithm
log(32),,logarithm
2322/43,,arithmetic
1632/48,,arithmetic
5^4,,power
sqrt(784),,power
11x+114=261,,linear
sqrt(2401),,power
53+68*12,,arithmetic
9^5,,power
76*60,,arithmetic
1434+1924,,arithmetic
10^3,,power
21x+102=235,,linear
2418-1785,,arithmetic
26+46*17,,arithmetic
1320/20,,arithmetic
2329-1884,,arithmetic
506/23,,arithmetic
sqrt(1764),,power
10^3,,power
1924/37,,arithmetic
960/32,,arithmetic
10^4,,power
22x+141=214,,linear
18x+143=214,,linear
2145/39,,arithmetic
1369/37,,arithmetic
1677+1813,,arithmetic
28x+123=222,,linear
26x+82=249,,linear
17x+70=117,,linear
91*55,,arithmetic
tan(30),,trigonometry
1677+1469,,arithmetic
sin(315),,trigonometry
2384-1570,,arithmetic
690/23,,arithmetic
57+39*14,,arithmetic
62*60,,arithmetic
81*51,,arithmetic
log(100000),,logarithm
56+58*22,,arithmetic
sin(240),,trigonometry
2213-1947,,arithmetic
cos(210),,trigonometry
62*71,,arithmetic
1782+1190,,arithmetic
8^3,,power
420/20,,arithmetic
sqrt(529),,power
98*64,,arithmetic
22+42*12,,arithmetic
log(512),,logarithm
log(32),,logarithm
tan(225),,trigonometry
sqrt(3249),,power
2121-1442,,arithmetic
log(100000),,logarithm
log(512),,logarithm
1643+1824,,arithmetic
9^5,,power
log(64),,logarithm
54+45*24,,arithmetic
sqrt(1521),,power
cos(300),,trigonometry
10x+79=177,,linear
36+41*22,,arithmetic
99*60,,arithmetic
tan(60),,trigonometry
sqrt(4356),,power
12x+92=267,,linear
2062-1521,,arithmetic
2263-1030,,arithmetic
72*80,,arithmetic
1846+1543,,arithmetic
16x+75=109,,linear
16x+148=188,,linear
cos(60),,trigonometry
log(256),,logarithm
cos(300),,trigonometry
2583/41,,arithmetic
sin(45),,trigonometry
29+65*23,,arithmetic
87*51,,arithmetic
log(64),,logarithm
2667-1412,,arithmetic
1157+1295,,arithmetic
log(128),,logarithm
2457/39,,arithmetic
2973-1627,,arithmetic
14^3,,power
cos(135),,trigonometry
1258+1924,,arithmetic
17x+103=131,,linear
2182-1126,,arithmetic
1379+1973,,arithmetic
14^4,,power
23x+83=135,,linear
63*60,,arithmetic
sqrt(3364),,power
log(512),,logarithm
log(64),,logarithm
1223+1718,,arithmetic
1391+1755,,arithmetic
2260-1883,,arithmetic
cos(45),,trigonometry
11x+112=227,,linear
58*52,,arithmetic
9^4,,power
2441-1013,,arithmetic
1855+1084,,arithmetic
25+63*24,,arithmetic
2427-1569,,arithmetic
cos(225),,trigonometry
77*86,,arithmetic
14^3,,power
tan(60),,trigonometry
50+23*10,,arithmetic
sqrt(2601),,power
2088-1664,,arithmetic
26x+65=142,,linear
14^4,,power
1034/22,,arithmetic
1895+1367,,arithmetic
cos(90),,trigonometry
cos(240),,trigonometry
2639-1387,,arithmetic
46+33*23,,arithmetic
28+59*14,,arithmetic
74*64,,arithmetic
1595/29,,arithmetic
63*60,,arithmetic
1790+1285,,arithmetic
sqrt(2809),,power
12^3,,power
sqrt(1089),,power
28+33*22,,arithmetic
1450+1124,,arithmetic
1519+1455,,arithmetic
log(64),,logarithm
50*86,,arithmetic
1341+1625,,arithmetic
sin(360),,trigonometry
log(64),,logarithm
11^5,,power
11^4,,power
9^5,,power
88*57,,arithmetic
sqrt(3844),,power
sqrt(900),,power
2332/44,,arithmetic
sqrt(4096),,power
12x+104=238,,linear
1460+1264,,arithmetic
log(256),,logarithm
1630+1989,,arithmetic
sqrt(1681),,power
log(512),,logarithm
825/25,,arithmetic
sqrt(4624),,power
1532+1428,,arithmetic
13x+66=207,,linear
97*53,,arithmetic
2220-1599,,arithmetic
log(64),,logarithm
cos(30),,trigonometry
7^3,,power
5^4,,power
23x+80=183,,linear
24x+100=191,,linear
12x+78=190,,linear
1634/38,,arithmetic
1462/43,,arithmetic
53+66*10,,arithmetic
log(256),,logarithm
14^5,,power
17x+138=286,,linear
14^4,,power
56*92,,arithmetic
2222-1976,,arithmetic
987/47,,arithmetic
2753-1903,,arithmetic
20x+78=154,,linear
60*97,,arithmetic
log(1024),,logarithm
1711+1118,,arithmetic
sqrt(1849),,power
1920+1416,,arithmetic
72*99,,arithmetic
2307-1985,,arithmetic
64+32*13,,arithmetic
1084+1380,,arithmetic
2751-1403,,arithmetic
22x+61=121,,linear
sqrt(4624),,power
sqrt(441),,power
41+51*20,,arithmetic
1940+1766,,arithmetic
1556+1129,,arithmetic
18x+145=247,,linear
2228-1723,,arithmetic
15x+142=247,,linear
1248/32,,arithmetic
1000+1545,,arithmetic
23x+105=282,,linear
log(1024),,logarithm
16x+122=280,,linear
sqrt(841),,power
2779-1121,,arithmetic
log(1024),,logarithm
2671-1462,,arithmetic
tan(60),,trigonometry
13^3,,power
2363-1647,,arithmetic
62*64,,arithmetic
log(1024),,logarithm
1613+1421,,arithmetic
1509+1693,,arithmetic
49+39*13,,arithmetic
log(64),,logarithm
55*96,,arithmetic
sqrt(961),,power
18x+62=265,,linear
log(1024),,logarithm
2026-1728,,arithmetic
2310/42,,arithmetic
1169+1479,,arithmetic
78*50,,arithmetic
sqrt(3481),,power
sin(30),,trigonometry
1288/28,,arithmetic
sqrt(1024),,power
cos(240),,trigonometry
16x+143=277,,linear
8^3,,power
tan(225),,trigonometry
22x+107=201,,linear
1014+1435,,arithmetic
82*71,,arithmetic
1928+1018,,arithmetic
31+47*26,,arithmetic
14^4,,power
2284-1662,,arithmetic
69*94,,arithmetic
630/21,,arithmetic
1820+1701,,arithmetic
log(32),,logarithm
11^3,,power
tan(210),,trigonometry
92*93,,arithmetic
5^3,,power
18x+57=136,,linear
20+66*29,,arithmetic
1826+1222,,arithmetic
1013+1899,,arithmetic
2833-1762,,arithmetic
1170+1542,,arithmetic
sqrt(1444),,power
sqrt(3844),,power
23+59*14,,arithmetic
log(32),,logarithm
567/27,,arithmetic
cos(330),,trigonometry
log(10000),,logarithm
13^3,,power
sqrt(2209),,power
2844-1897,,arithmetic
5^5,,power
2184/42,,arithmetic
sin(180),,trigonometry
tan(45),,trigonometry
log(10000),,logarithm
1564/23,,arithmetic
2550-1001,,arithmetic
65+48*13,,arithmetic
14x+90=117,,linear
log(1024),,logarithm
2278/34,,arithmetic
45+24*24,,arithmetic
log(128),,logarithm
2889-1687,,arithmetic
1645+1768,,arithmetic
sqrt(576),,power
tan(240),,trigonometry
sqrt(4096),,power
2542/41,,arithmetic
61+44*16,,arithmetic
28x+87=280,,linear
9^3,,power
27x+88=262,,linear
2607-1921,,arithmetic
2226-1857,,arithmetic
1070+1061,,arithmetic
14^4,,power
11x+111=287,,linear
log(512),,logarithm
16x+52=160,,linear
log(512),,logarithm
sin(135),,trigonometry
50+63*25,,arithmetic
sqrt(4624),,power
2154-1970,,arithmetic
1422+1462,,arithmetic
62*65,,arithmetic
16x+91=276,,linear
log(512),,logarithm
51*78,,arithmetic
2091-1336,,arithmetic
43+69*20,,arithmetic
28x+124=108,,linear
2946-1350,,arithmetic
51+65*24,,arithmetic
1781+1577,,arithmetic
tan(60),,trigonometry
1011+1453,,arithmetic
1058/46,,arithmetic
tan(360),,trigonometry
81*50,,arithmetic
2146-1381,,arithmetic
13^4,,power
sqrt(1444),,power
1599+1143,,arithmetic
946/22,,arithmetic
log(32),,logarithm
22+41*18,,arithmetic
1844+1949,,arithmetic
675/27,,arithmetic
1508+1501,,arithmetic
35+63*20,,arithmetic
66+40*21,,arithmetic
1020/20,,arithmetic
sin(30),,trigonometry
1941+1886,,arithmetic
64*51,,arithmetic
2686-1756,,arithmetic
18x+118=195,,linear
13^5,,power
sqrt(1225),,power
2162-1843,,arithmetic
1302+1012,,arithmetic
41+38*15,,arithmetic
10^3,,power
1008/48,,arithmetic
58+46*22,,arithmetic
52+50*16,,arithmetic
1040/26,,arithmetic
1066+1542,,arithmetic
16x+114=246,,linear
1454+1558,,arithmetic
1553+1614,,arithmetic
2863-1426,,arithmetic
39+38*28,,arithmetic
61+31*19,,arithmetic
log(512),,logarithm
1622+1475,,arithmetic
60+27*18,,arithmetic
13^4,,power
2202-1030,,arithmetic
sin(90),,trigonometry
1078/49,,arithmetic
log(128),,logarithm
58*96,,arithmetic
2954-1041,,arithmetic
sin(315),,trigonometry
log(32),,logarithm
5^3,,power
1577+1716,,arithmetic
log(512),,logarithm
66*69,,arithmetic
1184/37,,arithmetic
2327-1170,,arithmetic
69*89,,arithmetic
5^4,,power
44+57*28,,arithmetic
17x+79=181,,linear
900/36,,arithmetic
1730+1624,,arithmetic
1710+1014,,arithmetic
64+60*15,,arithmetic
16x+53=196,,linear
1347+1427,,arithmetic
96*68,,arithmetic
67*64,,arithmetic
14^5,,power
sqrt(2601),,power
2239-1630,,arithmetic
sqrt(3364),,power
tan(225),,trigonometry
1315+1621,,arithmetic
89*79,,arithmetic
13^3,,power
1228+1993,,arithmetic
log(512),,logarithm
log(1024),,logarithm
2464-1382,,arithmetic
24x+144=235,,linear
15x+51=215,,linear
cos(240),,trigonometry
1677+1002,,arithmetic
648/24,,arithmetic
10^3,,power
9^4,,power
sqrt(3249),,power
2718-1836,,arithmetic
64+56*26,,arithmetic
1129+1528,,arithmetic
1024+1300,,arithmetic
log(32),,logarithm
log(10000),,logarithm
10^3,,power
54*63,,arithmetic
52+48*27,,arithmetic
2926-1241,,arithmetic
1288+1903,,arithmetic
log(64),,logarithm
sin(360),,trigonometry
1335+1675,,arithmetic
2944/46,,arithmetic
1082+1228,,arithmetic
sqrt(4225),,power
tan(120),,trigonometry
10x+94=131,,linear
log(128),,logarithm
log(64),,logarithm
10^5,,power
19x+127=100,,linear
90*81,,arithmetic
log(512),,logarithm
39+41*21,,arithmetic
20x+100=259,,linear
1504+1024,,arithmetic
log(512),,logarithm
2112-1650,,arithmetic
12x+86=229,,linear
cos(270),,trigonometry
1479+1555,,arithmetic
cos(315),,trigonometry
67*68,,arithmetic
13^4,,power
5^4,,power
2491/47,,arithmetic
35+62*16,,arithmetic
8^5,,power
sqrt(4624),,power
sqrt(3721),,power
27x+83=229,,linear
log(10000),,logarithm
8^3,,power
65*77,,arithmetic
2034-1153,,arithmetic
11x+82=214,,linear
1157+1868,,arithmetic
49+22*16,,arithmetic
1886/41,,arithmetic
log(1024),,logarithm
log(256),,logarithm
2011-1318,,arithmetic
22x+137=233,,linear
2498-1336,,arithmetic
7^5,,power
log(100000),,logarithm
1342+1234,,arithmetic
2747/41,,arithmetic
53*82,,arithmetic
2677-1549,,arithmetic
2465-1075,,arithmetic
tan(45),,trigonometry
sqrt(3364),,power
sqrt(3969),,power
66*69,,arithmetic
1317+1402,,arithmetic
1240/31,,arithmetic
10^3,,power
1584+1741,,arithmetic
tan(135),,trigonometry
7^3,,power
19x+68=249,,linear
783/27,,arithmetic
tan(300),,trigonometry
11^4,,power
2406-1513,,arithmetic
73*58,,arithmetic
sqrt(4624),,power
sqrt(2116),,power
log(128),,logarithm
13x+53=267,,linear
cos(225),,trigonometry
log(1024),,logarithm
sqrt(2809),,power
1750/35,,arithmetic
sqrt(529),,power
